B&A,subgroup,language,black,white,red,yellow,green,blue,brown,grey,orange,
y,ThuraYura,Adnyamathanha,maRu,upa ,yalthatyi,arkutinyi yaliwarrunha ,aRarra virta-i-,unarru,yaliwarrunha ,arru,,
y,Paman,AghuTharnggala,lcur,naynh,,,,,,,,
y,Arandic,Alyawarr,"errpurl, rrpwerl, irrpwerl; amwak ",rntralker,rnterernter,arrkit,atherrk-atherrk,,,,,
y,Arandic,Antekerrepenh,"urrpwerl, urrperl",arlter,atyetyek,,,,,,,
y,Karnic,Arabana ,"pirla, waka",warru,"miRaka, pitjirrinha",miRaka,ngaljuRu,ngaljuRu,,,,
y,Yuin-Kuri,Awabakal,naru,barul,garil,,girul,,,,,
,Paman,Ayapathu,ngoton,pach,chokerre,,,,,,,
y,Kartu,Badimaya,mawurdu,biluny,binma,,guwiyarlarra,,,,,
,Karnic,Badjiri,garagara,budhabudha,gudhigudhi,,,,,,,
y,Bandjalangic,Bandjalang ,"duhndun Y, nyagu, jagabar","dalahn Y,G,C, deber W,C","gudhihn G, gudhihyn W,We, gudhihny",widhagaŋ,,,,,,
,Paman,BarrowPoint,ngulnggu:nh,"mangi:r, warrba:rr",umburrul,,ngulngkungulngkun ~ ululngkun,"urnggu:nh, ngulngkungulngkun ~ ululngkun",,urrba:lnganh,,
y,Waka Kabi,Batyala,dagil,kak’kal ,gooding,,,,,dhauwa-dhauwul,,
y,Maric,BidjaraGungabula,midhamidha,budhabudha,gudhigudhi,gudhirri,,,dhigara,thanpartthanpart,,
y,NgY E,Bilinarra,ngumbung,wargi,"gigig, win.gilyang ",,wurrgal,,,,,
y,Maric,Biri,gura,budya,"diga, kuma ",bagari,burba,,,bingara,,
y,Yuin-Kuri,Birrpayi,"butjung, guraa, gurrul","barang, bura, watuun","baril, barrang, ganggarr, naruburabu","baril, bilin, bukaruraru",marang warang,,duurung,dhinggarr,,
y,Warluwaric,Bularnu,bupugabupuga,burna,yalathalatha,gudhuludhulu,yuwaliwali,,,nyudurru,,
,Durubulic,Coobenpil,goorooin,boopa,cowan,,,,,,,
,Maric,Coonambella,"coor'gool, mither mith'er, n'goom by",,"dil'goor'a'ry, ma'gay'ra, ool'ba",,"bubba laballa, coo'ree",way,,,,
y,Yuin-Kuri,Darkinyung,"minig, naru",barag,,,,,,,,
y,Yolngu,Dhangu,gurrŋan('),gapaṉ,miku',ḏuŋgul,dhulmu,,,,,
y,Yuin-Kuri,Dharawal,"burawara, nganda","ban, warrawarra","munja munja, ngurung ngurung",,,,,,,
y,Yuin-Kuri,Dharuk,nganda,dyirra,mudjil,yarragal,bulgaga,,,,,
y,Maric,Dharumbal,guru,bura,tarir,kalmur ~ kalmurkalmur,"moalmoal, wuralwural",,,,,
,Lower Murray,Dhudhuroa,dhayugilu,darrangarra,ngaya,,,,,,,
y,Yuin-Kuri,Dhurga,nVndaagun ,wari,manjamanja,,,,,,,
y,Yolngu,Dhuwal,mol,watharr,ratjpa,ḏuŋgul,dhulmu,,ḻarraṉi('),djirrtjirr,,
y,Yolngu,Dhuwala,gurrŋan(') ,watharr,ṉipiṉ ,buthalak,,milkuminy ,gunhdhirr(‘),guray,,
y,Karnic,Diyari,maru,warru,marralyi,kakoo,kulyakulya,,,karoo,,
y,Paman,Djabugay,bugaa,gaba,galbal ,marrga-marrga,gurri,ngurbam,gaya,,,
y,Yolngu,Djapu,mol,gaywaraŋu ,miku(') ,buthalak,,,guṉḏirr('),djirrtjirr,,
y,Yolngu,Djinang,mul,bardjining,burdiburdigili,"butjalak, guringguringgili ",gumiring,marri djayaḻ mulngi,,,guringguringgili,
y,Durubulic,Durubul,gurun,buba,gudjin ,,,,,,,
y,Waka Kabi,Duungidjawu,miyarr,muranjŋa,guyiŋ,,,,,,,
,Arandic,EasternArrernte,"urrperle, urterrpe","arrerlkeme, mperlkere ","athekeke, athetheke, ntere-ntere, rntere-rntere",arlperrtye ,atherrke-atherrke ,"alkere-alkere, urite, ","aturrpe, urlpmernte-urlpmernte",mpwelkere,utyenye,
y,CNSW,Gamilaraay,buluuy,balaa,guwi,gidjirrgidjirr,gawarrawarr,gawarrawarr,dhuRa,dhadhaal,pampul,
y,Maric,Gangulu,guradgurad,budhu/budha,guma,,gawayi,midha,nayinayi,,,
,Karnic,Garlali,thaɹagurru,kupa,diyaɾdiyarri,,kanda,,,,,
,Bandjalangic,Githabul,ŋagu,gibira,gudhihn,widhagaŋ,gaygum,,,gidhur,baraŋayil,
,Yolngu,Golpa,gurrŋan',gaywaraŋu,gulaŋ-gulaŋ,buthalak,milkuminy ,mulkuminy,rawak ,,,
y,Waka Kabi,GoorengGooreng,noolgee,bural,gutchoo,,,,,,,
,Maric,GuguBadhun,midhu,gurrgul,garrngul,,,,,,,
y,Yolngu,Gumatj,gurrngan’,gaywaraŋu,miku’,ḏuŋgul,milkuminy,borpul,ḻarraṉi('),djirrtjirr,,
,Durubulic-ish,Gumbaynggir,guuru ,garaaban,"muluurr, mulurr-mulurr ",,,,,,,
y,Yuin-Kuri,Gundungurra,buda-rin,gara-ng,gumal,bíllin,yama-ying,,dúrung,,,
y,Maric,Gunggari,gubur gubar,guda guda,gudi gudi,,,,,,,
y,Maric,Gunya,gudul,budhabudha,gudhigudhi,,,,,,,
y,Yolngu,Gupapuyngu,gurrngan’,gaḻkarra,ratjpa,ḏuŋgul,dhulmu,,guṉḏirr('),djirrtjirr,,
y,NgY E,Gurindji,mumpuwung,pilkiya,kikik,karrikunkarrikun,wurrkal,wurrkawurrkal,,,kuntarrikuntarri,
y,Paman,GuuguYimidhirr,munyi,bilbin,dieni,barga,,dallon,,waitchawaitcha,,
,Maric,Guwamu,guul,budhabudha,gudhigudhi,,,dhugandu,,guba,,
,Durubulic,Guwar,winjulum,buba,gurara,,,,,,,
y,ThuraYura,Guyani,peimba or blowarn,kupa,daltatji,barru,kaljika,,,,,
,Paman,Ikarranggal,oltjoR,,etjelwetjen,,,,,olpo,,
,Paman,Injinoo,"unma (Ang/At/Y),  manarra",,"uchurrin, lukukuyn",,,,,,,
y,Yuin-Kuri,Iyora ,ŋana,tyerrá,múdyıl,yerakál,gomu̇n,,,,,
y,NgY E,Jaru,guruuguruu,labawu,girrgirr,gundul,wurrgal wurrgal,,,,,
y,Kanyara-Mantharta,Jiwarli,kurdu,jirnda,martamarta,,,,,,,
y,NgY,Jiwarliny,maru,wirntikirli,,,,,,,,
y,Kalkatungic,Kalkatungu,marrtyin ,purlupurlu,kurrikurri,parruparru,yalapuyalapu,,,,,
y,Marrngu,Karajarri,wangu,lali,wilkarrwilkarr,kumpari,pitily,,,papakuna,,
y,Ngayarta,Kariyarra,warruwarru,mirtamirta,martamarta,bilyarrbilyarr,barlarra,,,,,
y,Yuin-Kuri,Karree,budu-lång,ba-gur,dyir-radyi–dyir-radyi,,,,,,,
y,Wati,Kartujarra,marumaru,pirlpirl,micimici,,yukuriyukuri,,,,,
y,Yuin-Kuri,Katthang ,But-ton,Bur-ra,Bur-rung,Bil-lin,Gir-rung,,Doo-roong,,,
y,ThuraYura,Kaurna,pulyu-Na,perkandi,purnkipurnki,wirranniranna,karalta,karalta,purnkipurnki,,,
,Arandic,Kaytetye,enngwemernte,arltere,arrme,arrkite,ahereknge,alkere apanpe,amel-amele,arrelkere,,
,Kulin,Keerraywoorroong,meeinju wertiin,tarndeetch,worrowity,,kuumakuurn knorr,ngoom-brety,worroweely,napkuyeetch,,
,Paman,KokoBera,ngolthórr,pvrángvrr,purrmépurrmvn,,,,,,,
y,Paman,KuguNganhcara,ngunhca ,pathca,ngolpolintha,,,,,,,
tree,Paman-ish,Kukatj,punther,pijer,yirmperirmper,thakeraker,purken,,,kunpir,,
y,Wati,Kukatja,maru,lipi,rangkarr(pa),gundari,yukuri,tiltil(pa),,yintji,,
y,Karnic,Kungadutyi,,kupa/kupi(ya) (kupia),pitapita,,,,,,,
y,Karnic,Kungkari,marnkirl,,rikirikiridi ,,,,,,,
,Paman,Kunjen sc. Ogunyjan,ocor,arrp3r,ecelbhecen,,,,,eral,,
y,Karnic-ish,Kurnu,karkreeka,bi-chooka,năhllkeekă,,noonbaraka,ko-kreeka ,,goorra,,
y,Ngayarta,Kurrama,warru,jirtpa,marda-marda ,,patharra,,,jiwarra,,
y,Paman,Kurtjar,lthoorgh,ghithithuang,ghanhichargh,,,,mbaʀ,rthuaalgh,,
,Paman,KuukThaayorre,ngotan,kermpl ,kamkamu,kacar,mewer,,,,,
y,Paman,KuukuYau,thungku,pulpu,pulpanchi,,yalu,,,,,
y,Paman,Linngithigh,ngko(δro),iyin,,,,,,,,
tree,Paman-ish,Mabuiag,kubikub,bolad-gamul,giitad-gamul,karad-gamul,buradunga,boad-gamul,buru-gamul,gwabagwabad-gamul,ar-kulkad-gamul,
y,Kartu,Malgana,madhara,wilidhi,maniwiri,,,,,,,
y,NgY E,Malngin,"ngijpurru, mumpu (paint), warrpalangin (paint?)",kalyji,ngurri (paint),,,,,,,
y,Karnic-ish,Malyangapa,maRukatha,patjarka,parkarditjulu,Mal: pilthi,ngurru,,muna,,,
y,Marrngu,Mangala,kurru,la:li,mirbal,,bidilj,,,,,
y,Maric,Margany,gudul,bunduny,gudhigudhi,,,,,,,
y,Wati,MartuWangka,maru-maru,ngintarlpa,miji-miji,,yukuri-yukuri,,,,,
,Waka Kabi,MaryRiverandBunyaBunyaCountry ,mul’lu,ka’kal,bothar,,,,,gi’lan,,
y,Kulin,MathiMathi,wurrgirrim,wirlerrma,"dharla, dharlabil",,,,,,,
y,Mayi,MayiKulan,marrtjin,punamu,paRul,,kiltjan,,,,,
y,Mayi,MayiKutuna ,wupilkupil,parala,wurtikurti,,,,,,,
y,Mayi,MayiThakurti,marrtjin,punaru ,kilkilkaRu ?,,,,,,,
y,Mayi,MayiYapi,marrtjin,pulpu ,pathaRakuyn,,kiltjan,,,,,
y,Paman,Mbabaram,arrngin,alngkwuri,,,,,,,,
y,Paman,Mbakwithi,rraw,,tralawati,adhiki ,thAEBi,,ixiti,roga,,
y,Bandjalangic,Minjungbal,,giba-ra,gudyin,,,,,,,
y,Mirniny,Mirniny,kartaya,ngirangira,,,,,,,,
y,Karnic,Mithaka,tjimpa,warruputha,tyirtiti,,kurkiRi,,,,,
y,NgY E,Mudburra,mungarramungarra,liwakarra,pilyingpilyinga,tankurra,jayilyak,,,,,
y,CNSW-ish,Muruwari,karta,pulam-pulam,marrki-marrki,kurnan-kurnan,pampulkala,,,puki,,
y,ThuraYura,Narungga,bulyu,malga,dilali,,,,,,,
y,Wati,Ngaanyatjarra,maru,pirntalpa,tjitirn-tjitirnpa,pirlka,kana,,,,,
y,Mirniny,Ngadjumaya,maŋuru,"ŋiiraŋiira, ŋiiaŋiia",jurniŋ'jurniŋ',,t́iĺa,kui̱ale(r)i-,,,,
y,ThuraYura,Ngadjuri,murunga,wenda,,,,,,,,
y,Lower Murray,Ngaiawang,nimmimi,palgarinyi,"kantukanturangko, rumrum",,komkomko,,,,,
y,Karnic,Ngamini,maru,purlu,maRadyi,,kunakuna,,,,,
y,Yuin-Kuri,Ngarigu,dhagug,gurbid,"ngayarr-ngayarr, ngayarr",,,,,,,
y,NgY E,Ngarinyman,ngijburrang,wagi,win.gilyang,gundariny-marraj,wurrgal,ngawa-marraj,mungarrangarna,,garrigun-marraj,
y,Ngayarta,Ngarla,warrukurla,mirta-mirta,"miki, pílyari ~ pílari ","kákùl, túnù, pútùngùrrù",patalyi,yalurnmarra,,mirta,,
y,Ngayarta,Ngarluma,warru,mirdamirda,mardamarda,buthunguru,balharra,warruwarru,,barragura,,
y,Lower Murray,Ngarrindjeri,kineman,balpi,kurunggulun,,ngthummulun,,,kenk,milkurli,
y,Mayi,Ngawun,marrtjin,punaru,,,,,,,,
y,Bandjalangic,NggoiMwoi,doondeen,kibbera,kudgeen,,,,,,,
y,CNSW,Ngiyambaa,puluy,pangkapa,kirraparaay,kunayiŋkuna,kiityan,pulawi ,thakaŋaliya,,,
y,Yuin-Kuri,Ngunawal,buru-buraa,daguru-gurag,dhirrum dhirrum,,,,,,,
y,Kartu,Nhanta,wurqarra,mini,marniwidi,,,,,,,
y,Karnic,Nhirrpi,murrumurru,,pidibidi,,kurrgagurrarri,,,,,
,Paman,Ntra’ngith,ʼɑ́ru,ƫɑwɑr,piwir ,,,,,,,
y,Ngayarta,Nyamal,walukurra ~ warrukurla,mirtamirta,mijimiji,,"martajarri, pataljali, warrulywarruly",,,,,
y,Marrngu,Nyangumarta,"kalarru, warrukurla ",larli-kata,pilyarri,kakirr,warruly,,jungkarrjungkarr,mirta,"kumparri, miling",
y,Nyung,Nyungar,kumma,tel,yurnin,yool-jie-ah,turtong,mu-yub‹rra,je-da-re,DJENDAL ,,
y,Karnic-ish,Paakantyi,kukirika,paatyirka,"ngalkina, ngalkirka",wapirka,nhumparka,,,kuRa,,
y,Paman,Pakanh,nhowanhtha,motpo,ijam,,,,,,,
y,Ngayarta,Panyjima,warru,jibarra,martamarta,,,,,,,
y,ThuraYura,Parnkala,pimba,palkarra,pitara,palkurru,kalluru,karrenyerenye,pangkurriti,palkanyalla,,
y,Kanyara-Mantharta,Payungu,kurluwa,jingkirl,kulhuwiyi,,purrungukaya,,,piyarltyi ,,
y,Wati,Pintupi-Luritja,"maru, wurrpala, yalta",nimpilpa,"tutu, yulpa",kantawarra,"yintarra, yukiri","nganka, nguru, yikari, yilkari",tjitintjitinpa,wiri,,
y,Wati,Pitjantjatjara,maṟu,piṟan(pa),rituwanaringanyi,uṉṯaṉu,ukiṟi-ukiṟi,,,,,
y,Karnic,PittaPitta,tyimpa,warrhaputha,kurrhikurrhi ,,kalyirrhka,,,,,
,Karnic,Punthamara,muru muru,kup:a,marpila,pilta,kulkarra,,,,,
,Kanyara-Mantharta,Purduna,kurluwa,jurlpil,kulhuwi,,,,,,,
y,Yolngu,Rirratjingu,gurrŋan',"gaywaraŋu, watharr",miku,"buthalak, gangul",,,,,,
y,Yolngu,Ritharrngu,mol,barik,rlirrbuku,,yeku',,ḻirrbuku,,,
y,Kanyara-Mantharta,Thalanyji,kurluwa,ngarriwari,kulhuwi,,,,pintha-bintha,,,
,Yuin-Kuri,Thanggati,gurulgurul,badhangbadhang,girragirra,,,,,,,
y,Kanyara-Mantharta,Tharrgari,"kurluwa, kurdu",yirdi,"kulhuwi, kutjuwi",,pidarda,,,,,
,Paman,Thaynakwith,orrow,charuwa,trelim thath,,,,,,,
y,Paman,Umpila,thungku,pulpu,pulmpanci,,,,,,,
,Paman,Uradhi,"uuma, unma ",,rebano,,,,,,,
,CNSW,Wailwan,buluuy,balaa,girrawil,,giidjan,,,,,
y,Kartu,Wajarri,"wirri ~ widi, marurdu ~ mawurdu","birluny, bilyarra","bilyara, biliyarra, bilyini ~ bilyinyi",,barala,,,,,
,Waka Kabi,WakaWaka,woor-ru-we-a,chil-ing,gweeing,coo-na coo-na,,,,,,
y,Warluwaric,Wakaya,wethinngu,pernangka,thithathu,kunhthenngu,,,,junku,,
y,NgY ,Walmajarri,kurnkurn,"lapawu, parp-jarti",ngirljarti,,djibil,,nguwanguwa,kurtu,,
,Wati,Wangkajunga,,,,,,,,,,
,Wati,Wangkatja,maru,ngintji,yarralypa,,ukiri,,parna,,,
y,Karnic,Wangkayutyuru,jimpa,walpadi,karamarra,padu,pantiya,,,purru,,
y,Karnic,Wangkumara,murrumurru,gupa,marpamarpala,pilthi,gurkagurkara,,,,,
y,Nyung,Wardandi,muwan,bennak,wildji-munj,wildjə-ga,,,,,,
y,NgY Y,Warlmanpa,"maru, wumpur(r)ani ",ta(rra)warlwari,"tiikwari, pulyurru-pulyurru",wirinkirri-wirinkirri,kurralywari ,,kunjuru-kunjuru,,,
y,NgY Y,Warlpiri,maru,kardirri,tiri,karntawarra-karntawarra,yukiri,kunjuru-kunjuru ,walya-walya,layi-layi,,
y,Warluwaric,Warluwarra,puwarra,purna,kikaakikaa,parru,wuwalla,,,mikimiki,,
,Wati,Warnman,warrukurla ,rlarli,miji miji,karntawarra,warrulypa,,,,,
y,Dyirbalic,Warrgamay,dyu:lu,bambaɽa,,,,,,maɽgun,,
y,Kanyara-Mantharta,Warriyangga,kuparri,thurla,pulara,,pirrpalhi,,,,,
,Kulin,Warrnambool,miyn,ngapkuyitj,kiri-kiri,punda,kumakarak,miynkaa,,napipi,,
y,NgY-ish,Warumungu,wumpurrarni,"parlarr, punuru",pulyurr-,wiringkirr wiringkirr,kuraly-,kartungkali,narra-narra,winyal winyal ,,
y,Maric,Warungu,ganambirra,bambara,jalngarri,gunggugaji,,,,,,
y,Kulin,Wathawurrung,wurrgarrabil,darn-garriyn,kurr-kurr-warriyn,,gurr-gurr-warrabil,marra-narrap,djirrala-bil,,,
y,Kulin,WathiWathi,nganda,yirang gadaa,wurung-urung,,narin-ŋaraŋ,ngandar ,,,,
y,Nyung,Watjuk,moan,jital,wilgilang,,keripkerip,,,jital,,
,Kulin,WembaWemba,wurkatang,*pakuwinyawil ,kurrk-kurrkuk warrawil,,"wurəwil, wurəwurətayil",*purt-purt-warra-wil,*puny-puny-warra-wil,pulətayil,,
y,Arandic,WesternArrarnte ,urrperle,irltere/tywelkere,"thetheke, thithaka ",ntwarne/untarne,therrke-therrke,,,,,
y,Paman,WikMungkan,ngotan,polp,wu'wu'iy ,,,,,,,
,Paman,WikNgatharr,mak,chaarew,pinthenh,ngump-ngump,miip,,,,,
y,CNSW,Wiradjuri,buudhang,barrabarra,giri-girri,guunang-guunang,gabbar-gabbar,ŋurru-mir-gaŋ,,,,
y,ThuraYura,Wirangu,maru,balgu-balgu,birndi,,gaRagan,,,,,
y,Kulin,Woiwurrung,kuyang,dharranhun,bibidhuang,babedirrin,gumang-djarrang,kor.ran.gor.rer,derril,,,
,Maric,Wulguru,,gunggamu,,gunbili,,,,,,
y,Durubulic,Yagara,gurun,giwere,cowan,,,,,,,
y,Kalkatungic,Yalarnnga,mukampa,puluwarra,kurrikurri,parruparru,yilhtharra,,,purru,,
y,Karnic,Yandruwandha,yimpa ,parlu,pirtipirti,parruparru ~ padupadu,"kurrkari, pulayarra, pulapulayarra,",impa,warru,,,
y,Yolngu,Yannhangu,mol'mulŋu,biriyanaraŋu ,miku,buthalakthun,warrlwaḻyana,,,,,
y,Warluwaric,Yanyuwa,ngubunthurr ,a-bulwa (rra-),"naka, dankurrdankurr",dankurrdankurr,,,,,,
y,Karnic,Yarluyandi,maru,,pitjirina,,,,,,,
y,Karnic,Yawarrawarrka,tjimpa ,waru,pidipidi,barru,kudnapantjindri,,,,,
,Paman,Yidiny,gijawulu,badal,wubagar,marrgamarrga,gurrumugul,wulburuny,garran,guban.guban,,
y,Ngayarta,Yindjibarndi,warru,jiwarra,mardamarda,biyulu,wanka,bithu,warru,,,
y,Warluwaric,Yindjilandji ,wuthungu: ~ wuthunngaÖ,bunangga ~ burnánggar,wumanggu,,,,,,,
,Kanyara-Mantharta,Yingkarta,kurdu,piilyba,thuwarri ,,,,,,,
,Ngayarta,Yinhawangka,"warru/waru , kurluwa",pirarrpa,marta-marta/ ~ marra-marra,pijulurlu,pilhu,,,pira,,
y,Maric,Yirandali,booddera,kuddella,,,,,,,,
,Paman,YirYoront,kolp+kol+lh,larrl,kam+kam+w,kam+kam+w,,,,muw,,
,Lower Murray,YortaYorta,dhalanan,pet-tyaity,mawamadj,,,,,,,
y,Bandjalangic,Yugambeh,tu:ndu:n,talngai,djairi,jaragam,pujarbin,ninye:ri,tulgaytulgay,,,
,Durubulic,Yugarabul,cuppee [kapi],currarn,"kutchin, godjeen",,,,,,,
y,Wati,Yulparija,maru,jurnpulpa,martarrjarra,kurrukarl,jutalypa,,,,,
y,CNSW,Yuwaalaraay,buluuy,bangga,guwaymbarra,gidjiirr,dhurrin,yiluwidi,,dhadhaal,,